predictor,label,trait,method,n,estimate,p_value,note,p_value_BH
sqrt_trapezia_punctimanus_z,Trapezia punctimanus sqrt abundance,carb_mg_cm2,pearson,44,0.02750868831403769,0.8593101658628561,NA,0.9482043209521172
sqrt_trapezia_tigrina_z,Trapezia tigrina sqrt abundance,protein_mg_cm2,spearman,44,-0.026952094841364314,0.8621290344464478,NA,0.901202122033337
sqrt_trapezia_tigrina_z,Trapezia tigrina sqrt abundance,growth_vol_b,spearman,44,0.026651513858003375,0.8636520336152813,NA,0.901202122033337
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,zoox_cells_cm2,spearman,44,-0.019524229378008184,0.8998960793702481,NA,0.9289249851563851
asin_trap_prop_full_z,arcsin sqrt Trapezia share of full CAFI,zoox_cells_cm2,pearson,44,0.013292780760599615,0.9317528802827739,NA,0.98418210138624
sqrt_trap_total_z,sqrt total Trapezia abundance,afdw_mg_cm2,spearman,44,0.013192119700684216,0.9322684863789273,NA,0.9521039860891172
sqrt_trapezia_tigrina_z,Trapezia tigrina sqrt abundance,protein_mg_cm2,pearson,44,0.012068524088825791,0.9380255796192116,NA,0.98418210138624
sqrt_trap_total_z,sqrt total Trapezia abundance,afdw_mg_cm2,pearson,44,0.011325932088200793,0.9418322143406077,NA,0.98418210138624
asin_trap_serenei_prop_full_z,arcsin sqrt T. serenei share of full CAFI,afdw_mg_cm2,pearson,44,-0.007820227727982581,0.9598188626437969,NA,0.98418210138624
sqrt_trap_serenei_z,sqrt T. serenei abundance,cond_PC1,pearson,44,0.0072673274685293495,0.9626576451599309,NA,0.98418210138624
sqrt_trapezia_serenei_z,Trapezia serenei sqrt abundance,cond_PC1,pearson,44,0.0072673274685293495,0.9626576451599309,NA,0.98418210138624
sqrt_trapezia_guttata_z,Trapezia guttata sqrt abundance,growth_vol_b,pearson,44,0.007068558498347882,0.9636783076073601,NA,0.98418210138624
sqrt_trapezia_areolata_z,Trapezia areolata sqrt abundance,growth_vol_b,spearman,44,-0.0062257280636469035,0.9680067911495398,NA,0.978196336319535
sqrt_trapezia_punctimanus_z,Trapezia punctimanus sqrt abundance,cond_PC1,pearson,44,-0.003673415729303895,0.9811196136078766,NA,0.9914471884879595
sqrt_trapezia_punctimanus_z,Trapezia punctimanus sqrt abundance,cond_PC1,spearman,44,0.0015618176759978747,0.9919720781539783,NA,0.9919720781539783
sqrt_trapezia_areolata_z,Trapezia areolata sqrt abundance,carb_mg_cm2,pearson,44,0.0013247852502519524,0.9931904209260838,NA,0.9931904209260838
