sp1,sp2,freq
Hargeria rapax,Trapezia tigrina,0.075
Harpiliopsis beaupresii,Trapezia tigrina,0.455
Harpiliopsis spinigera,Trapezia tigrina,0.005
Luniella pugil,Trapezia tigrina,0.05
Macteola interrupta,Trapezia tigrina,0.105
Menaethius monoceros,Trapezia tigrina,0.08
Mitrella moleculina,Trapezia tigrina,0.055
Morula zebrina,Trapezia tigrina,0.08
Paragobiodon modestus,Trapezia tigrina,0.02
Pascula muricata,Trapezia tigrina,0.14
Periclimenes watamuae,Trapezia tigrina,0.13
Stomatolina rubra,Trapezia tigrina,0.08
Strigatella assimilis,Trapezia tigrina,0.415
Synalpheus charon,Trapezia tigrina,0.025
Trapezia serenei,Trapezia tigrina,0.025
Alpheus diadema,Vexillum interruptum,0.285
Alpheus lottini,Vexillum interruptum,0.01
Apataxia cerithiiformis,Vexillum interruptum,0.105
Athanas djiboutensis,Vexillum interruptum,0.375
Calcinus latens,Vexillum interruptum,0.095
Caracanthus maculatus,Vexillum interruptum,0.645
Carinomitra typha,Vexillum interruptum,0.2
Cellana taitensis,Vexillum interruptum,0.08
Cerithium zebrum,Vexillum interruptum,0.04
Chlorodiella barbata,Vexillum interruptum,0.025
Coralliogalathea humilis,Vexillum interruptum,0.33
Dascyllus aruanus,Vexillum interruptum,0.095
Dascyllus flavicaudus,Vexillum interruptum,0.25
Diala albugo,Vexillum interruptum,0.19
Diala semistriata,Vexillum interruptum,0.105
Fennera chacei,Vexillum interruptum,0.015
Galathea mauritiana,Vexillum interruptum,0.025
Galeropsis monodonta,Vexillum interruptum,0.035
Halichoeres trimaculatus,Vexillum interruptum,0.43
Hargeria rapax,Vexillum interruptum,0.03
Harpiliopsis beaupresii,Vexillum interruptum,0.2
Harpiliopsis spinigera,Vexillum interruptum,0.02
Luniella pugil,Vexillum interruptum,0.285
Macteola interrupta,Vexillum interruptum,0.665
Menaethius monoceros,Vexillum interruptum,0.05
Mitrella moleculina,Vexillum interruptum,0.125
Morula zebrina,Vexillum interruptum,0.195
Paragobiodon modestus,Vexillum interruptum,0.01
Pascula muricata,Vexillum interruptum,0.505
Periclimenes watamuae,Vexillum interruptum,0.005
Stomatolina rubra,Vexillum interruptum,0.04
Strigatella assimilis,Vexillum interruptum,0.31
Synalpheus charon,Vexillum interruptum,0.485
Trapezia serenei,Vexillum interruptum,0.045
Trapezia tigrina,Vexillum interruptum,0.055
Alpheus diadema,Xanthias lamarckii,0.45
Alpheus lottini,Xanthias lamarckii,0.015
Apataxia cerithiiformis,Xanthias lamarckii,0.015
Athanas djiboutensis,Xanthias lamarckii,0.11
Calcinus latens,Xanthias lamarckii,0.18
Caracanthus maculatus,Xanthias lamarckii,0.045
Carinomitra typha,Xanthias lamarckii,0.265
Cellana taitensis,Xanthias lamarckii,0.34
Cerithium zebrum,Xanthias lamarckii,0.045
Chlorodiella barbata,Xanthias lamarckii,0.375
Coralliogalathea humilis,Xanthias lamarckii,0.21
Dascyllus aruanus,Xanthias lamarckii,0.385
Dascyllus flavicaudus,Xanthias lamarckii,0.465
Diala albugo,Xanthias lamarckii,0.025
Diala semistriata,Xanthias lamarckii,0.1
Fennera chacei,Xanthias lamarckii,0.39
Galathea mauritiana,Xanthias lamarckii,0.045
Galeropsis monodonta,Xanthias lamarckii,0.04
Halichoeres trimaculatus,Xanthias lamarckii,0.76
Hargeria rapax,Xanthias lamarckii,0.015
Harpiliopsis beaupresii,Xanthias lamarckii,0.045
Harpiliopsis spinigera,Xanthias lamarckii,0.18
Luniella pugil,Xanthias lamarckii,0.05
Macteola interrupta,Xanthias lamarckii,0.055
Menaethius monoceros,Xanthias lamarckii,0.19
Mitrella moleculina,Xanthias lamarckii,0.32
Morula zebrina,Xanthias lamarckii,0.38
Paragobiodon modestus,Xanthias lamarckii,0.085
Pascula muricata,Xanthias lamarckii,0.835
Periclimenes watamuae,Xanthias lamarckii,0.13
Stomatolina rubra,Xanthias lamarckii,0.08
Strigatella assimilis,Xanthias lamarckii,0.04
Synalpheus charon,Xanthias lamarckii,0.07
Trapezia serenei,Xanthias lamarckii,0.025
Trapezia tigrina,Xanthias lamarckii,0.2
Vexillum interruptum,Xanthias lamarckii,0.195
Alpheus diadema,Zafra hahajimana,0.115
Alpheus lottini,Zafra hahajimana,0
Apataxia cerithiiformis,Zafra hahajimana,0.01
Athanas djiboutensis,Zafra hahajimana,0.035
Calcinus latens,Zafra hahajimana,0.02
Caracanthus maculatus,Zafra hahajimana,0.215
Carinomitra typha,Zafra hahajimana,0.37
Cellana taitensis,Zafra hahajimana,0.14
Cerithium zebrum,Zafra hahajimana,0.08
Chlorodiella barbata,Zafra hahajimana,0.165
Coralliogalathea humilis,Zafra hahajimana,0.12
Dascyllus aruanus,Zafra hahajimana,0.015
Dascyllus flavicaudus,Zafra hahajimana,0.025
Diala albugo,Zafra hahajimana,0.095
Diala semistriata,Zafra hahajimana,0.35
Fennera chacei,Zafra hahajimana,0.005
Galathea mauritiana,Zafra hahajimana,0.015
Galeropsis monodonta,Zafra hahajimana,0.025
Halichoeres trimaculatus,Zafra hahajimana,0.05
Hargeria rapax,Zafra hahajimana,0.035
Harpiliopsis beaupresii,Zafra hahajimana,0.155
Harpiliopsis spinigera,Zafra hahajimana,0.16
Luniella pugil,Zafra hahajimana,0.04
Macteola interrupta,Zafra hahajimana,0.06
Menaethius monoceros,Zafra hahajimana,0.055
Mitrella moleculina,Zafra hahajimana,0.525
Morula zebrina,Zafra hahajimana,0.545
Paragobiodon modestus,Zafra hahajimana,0.08
Pascula muricata,Zafra hahajimana,0.265
Periclimenes watamuae,Zafra hahajimana,0.015
Stomatolina rubra,Zafra hahajimana,0.455
Strigatella assimilis,Zafra hahajimana,0.04
Synalpheus charon,Zafra hahajimana,0.025
Trapezia serenei,Zafra hahajimana,0.01
Trapezia tigrina,Zafra hahajimana,0.255
Vexillum interruptum,Zafra hahajimana,0.275
Xanthias lamarckii,Zafra hahajimana,0.065
